"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
data_entry_id_anchorcom,clinician_anchor_communication,,text,"Data entry person ID",,,,,,,,,,,,," @USERNAME @READONLY"
clinanchor_comm_comp,clinician_anchor_communication,,radio,"Clinician-rated anchor completed","1, Yes | 2, No",,,,,,,,,,,,
clinanchor_comm_nc,clinician_anchor_communication,,checkbox,"Why was the clinician-rated anchor not completed?","1, Patient factors | 2, Service factors | 3, Patient discharged prior to two week test/re-test period","Select all that apply",,,,,[clinanchor_comm_comp]='2',,,,,," @NONEOFTHEABOVE='3'"
clinanchor_comm_nc_ptfact,clinician_anchor_communication,,checkbox,"Which patient factors influenced non-completion?","1, Patient not alert | 2, Patient offered and declined | 3, Patient unavailable to participate | 4, Interpreter not available | 5, Not feasible due to aphasia severity | 6, Patient discharged before administration | 7, Patient died | 8, Other {clinanchor_comm_nc_ptfact2}","Select all that apply",,,,,[clinanchor_comm_nc(1)]='1',,,,,,
clinanchor_comm_nc_ptfact2,clinician_anchor_communication,,text,"If other, please specify",,,,,,,[clinanchor_comm_nc_ptfact(8)]='1',,,,,,
clinanchor_comm_nc_svfact,clinician_anchor_communication,,checkbox,"Which service factors influenced non-completion?","1, Competing demands | 2, Resource constraints | 3, No available trained clinicians | 8, Other {clinanchor_comm_nc_svfact2}","Select all that apply",,,,,[clinanchor_comm_nc(2)]='1',,,,,,
clinanchor_comm_nc_svfact2,clinician_anchor_communication,,text,"If other, please specify",,,,,,,[clinanchor_comm_nc_svfact(8)]='1',,,,,,
clinanchor_comm_date,clinician_anchor_communication,,text,"Date clinician-rated anchor completed",,DD-MM-YYYY,date_dmy,,,,[clinanchor_comm_comp]='1',,,,,," @HIDEBUTTON"
clinanchor_comm_admin,clinician_anchor_communication,,dropdown,"Completed by","1, Treating clinician | 2, Independent assessor | 3, Research team member",,,,,,[clinanchor_comm_comp]='1',,,,,,
clinanchor_comm_name,clinician_anchor_communication,,text,"Name of person completing anchor",,,,,,,[clinanchor_comm_comp]='1',,,,,,
clinanchor_comm_q1,clinician_anchor_communication,,dropdown,"How much has the patient's communication changed since their baseline assessment?","-2, Much worse | -1, Slightly worse | 0, No change | 1, Slightly improved | 2, Much improved | 3, Completely recovered",,,,,,[clinanchor_comm_comp]='1',,,,,,
clinanchor_comm_q2,clinician_anchor_communication,,radio,"Do you think this amount of change was an important change to the patient?","1, Yes | 2, No",,,,,,[clinanchor_comm_comp]='1',,,,,,
clinanchor_comm_total,clinician_anchor_communication,,calc,"Clinician threshold of important change - Communication",[clinanchor_comm_q1],,,,,,[clinanchor_comm_comp]='1',,,,,,
ptanchor_comm_warn,patient_anchor_communication,"Patient-Rated Anchor: Communication",descriptive,"<div class=""red"" style=""text-align:left;""><h6 style=""text-align:left;"">Please complete this anchor after the patient has completed aphasia treatment, but prior to administering the post-treatment assessment, where possible.
</h6></div>",,,,,,,,,,,,,
ptanchor_comm_header,patient_anchor_communication,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Please do not leave any data fields blank.</span></p> <p><span style=""font-weight: normal;"">The anchor is to be completed only with post-treatment outcome measures. </span></p> <p>The anchor is to be completed prior to administration of the Scenario Test.</p></div>",,,,,,,,,,,,,
data_entry_id_anchorcompt,patient_anchor_communication,,text,"Data entry person ID",,,,,,,,,,,,," @USERNAME @READONLY"
ptanchor_comm_comp,patient_anchor_communication,,radio,"Patient-rated anchor completed","1, Yes | 2, No",,,,,,,,,,,,
ptanchor_comm_nc,patient_anchor_communication,,checkbox,"Why was the patient-rated anchor not completed?","1, Patient factors | 2, Service factors | 3, Patient discharged prior to two week test/re-test period","Select all that apply",,,,,[ptanchor_comm_comp]='2',,,,,," @NONEOFTHEABOVE='3'"
ptanchor_comm_nc_ptfact,patient_anchor_communication,,checkbox,"Which patient factors influenced non-completion?","1, Patient not alert | 2, Patient offered and declined | 3, Patient unavailable to participate | 4, Interpreter not available | 5, Not feasible due to aphasia severity | 6, Patient discharged before administration | 7, Patient died | 8, Other {ptanchor_comm_nc_ptfact2}","Select all that apply",,,,,[ptanchor_comm_nc(1)]='1',,,,,,
ptanchor_comm_nc_ptfact2,patient_anchor_communication,,text,"If other, please specify",,,,,,,[ptanchor_comm_nc_ptfact(8)]='1',,,,,,
ptanchor_comm_nc_svfact,patient_anchor_communication,,checkbox,"Which service factors influenced non-completion?","1, Competing demands | 2, Resource constraints | 3, No available trained clinicians | 8, Other {ptanchor_comm_nc_svfact2}","Select all that apply",,,,,[ptanchor_comm_nc(2)]='1',,,,,,
ptanchor_comm_nc_svfact2,patient_anchor_communication,,text,"If other, please specify",,,,,,,[ptanchor_comm_nc_svfact(8)]='1',,,,,,
ptanchor_comm_proxy,patient_anchor_communication,,radio,"Patient-rated anchor was completed by","1, Patient | 2, Patient with support from a communication partner | 3, Significant other",,,,,,[ptanchor_comm_comp]='1',,,,,,
ptanchor_comm_date,patient_anchor_communication,,text,"Date patient-rated anchor administered",,DD-MM-YYYY,date_dmy,,,,[ptanchor_comm_comp]='1',,,,,," @HIDEBUTTON"
ptanchor_comm_admin,patient_anchor_communication,,dropdown,"Administered by","1, Treating clinician | 2, Independent assessor | 3, Research team member",,,,,,[ptanchor_comm_comp]='1',,,,,,
ptanchor_comm_name,patient_anchor_communication,,text,"Name of administrator",,,,,,,[ptanchor_comm_comp]='1',,,,,,
ptanchor_comm_desc1,patient_anchor_communication,"Patient Anchor",descriptive,"<div class=""rich-text-field-label""><p>Please complete directly prior to administration of the post Scenario Test.</p> <p><span style=""font-weight: normal;"">1) Explain: <em>We want to know much your communication has changed since you last did this test</em>. </span></p> <p><span style=""font-weight: normal;"">2) Show the patient the Scenario Test materials. </span></p> <p><span style=""font-weight: normal;"">3) Show the patient the ""Communication is"" visual. Explain <em>This question is asking you about your communication. Communication is using language in everyday life</em>. </span></p> <p><span style=""font-weight: normal;"">4) Read the anchor question to the patient <em>How much has your communication changed since you last did this test?</em> </span></p> <p><span style=""font-weight: normal;"">5) Show the patient the communication anchor scale.</span></p> <p><span style=""font-weight: normal;"">6) Read the response options, pointing to each option as you go. </span></p> <p><span style=""font-weight: normal;"">7) Repeat the anchor question <em>How much has your communication changed since you last did this test?</em> Ask the patient for their response. </span></p> <p><span style=""font-weight: normal;"">8) Enter the patient response directly into REDCap</span></p></div>",,,,,,,[ptanchor_comm_comp]='1',,,,,,
ptanchor_comm_q1,patient_anchor_communication,,radio,"<h2><strong>How much</strong> has your <strong>communication changed</strong> since you last did this test?</h2>","-2, <h2>Much worse<br><img lsrc=""/redcap_v14.3.14/DataEntry/image_view.php?pid=3094&doc_id_hash=ab407e1ee50ee90134de3444d572545fb34717a1&id=316164&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:68px;max-width:68px;height:59px;max-height:59px;"" nativedim=""1"" class="""" src=""/redcap_v14.3.14/DataEntry/image_view.php?pid=3094&doc_id_hash=ab407e1ee50ee90134de3444d572545fb34717a1&id=316164&instance=1""><img lsrc=""/redcap_v14.3.14/DataEntry/image_view.php?pid=3094&doc_id_hash=ab407e1ee50ee90134de3444d572545fb34717a1&id=316164&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:68px;max-width:68px;height:59px;max-height:59px;"" nativedim=""1"" class="""" src=""/redcap_v14.3.14/DataEntry/image_view.php?pid=3094&doc_id_hash=ab407e1ee50ee90134de3444d572545fb34717a1&id=316164&instance=1""> | -1, <h2>Slightly worse<br> <img lsrc=""/redcap_v14.3.14/DataEntry/image_view.php?pid=3094&doc_id_hash=ab407e1ee50ee90134de3444d572545fb34717a1&id=316164&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:68px;max-width:68px;height:59px;max-height:59px;"" nativedim=""1"" class="""" src=""/redcap_v14.3.14/DataEntry/image_view.php?pid=3094&doc_id_hash=ab407e1ee50ee90134de3444d572545fb34717a1&id=316164&instance=1""> | 0, <h2>No change<br> <img lsrc=""/redcap_v14.3.14/DataEntry/image_view.php?pid=3094&doc_id_hash=8ad42d694ac76cd6b4ec7b6f066761102e82c073&id=316168&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:64px;max-width:64px;height:64px;max-height:64px;"" nativedim=""1"" class="""" src=""/redcap_v14.3.14/DataEntry/image_view.php?pid=3094&doc_id_hash=8ad42d694ac76cd6b4ec7b6f066761102e82c073&id=316168&instance=1""> | 1, <h2>Slightly improved<br><img lsrc=""/redcap_v14.3.14/DataEntry/image_view.php?pid=3094&doc_id_hash=8c59ec2219dd1f1233ffe3a1c26fad8609733dfb&id=316160&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:69px;max-width:69px;height:64px;max-height:64px;"" nativedim=""1"" class="""" src=""/redcap_v14.3.14/DataEntry/image_view.php?pid=3094&doc_id_hash=8c59ec2219dd1f1233ffe3a1c26fad8609733dfb&id=316160&instance=1""> | 2, <h2>Much improved<br><img lsrc=""/redcap_v14.3.14/DataEntry/image_view.php?pid=3094&doc_id_hash=8c59ec2219dd1f1233ffe3a1c26fad8609733dfb&id=316160&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:69px;max-width:69px;height:64px;max-height:64px;"" nativedim=""1"" class="""" src=""/redcap_v14.3.14/DataEntry/image_view.php?pid=3094&doc_id_hash=8c59ec2219dd1f1233ffe3a1c26fad8609733dfb&id=316160&instance=1""><img lsrc=""/redcap_v14.3.14/DataEntry/image_view.php?pid=3094&doc_id_hash=8c59ec2219dd1f1233ffe3a1c26fad8609733dfb&id=316160&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:69px;max-width:69px;height:64px;max-height:64px;"" nativedim=""1"" class="""" src=""/redcap_v14.3.14/DataEntry/image_view.php?pid=3094&doc_id_hash=8c59ec2219dd1f1233ffe3a1c26fad8609733dfb&id=316160&instance=1""> | 3, <h2>Completely recovered<br><img lsrc=""/redcap_v14.3.14/DataEntry/image_view.php?pid=3094&doc_id_hash=8c59ec2219dd1f1233ffe3a1c26fad8609733dfb&id=316160&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:69px;max-width:69px;height:64px;max-height:64px;"" nativedim=""1"" class="""" src=""/redcap_v14.3.14/DataEntry/image_view.php?pid=3094&doc_id_hash=8c59ec2219dd1f1233ffe3a1c26fad8609733dfb&id=316160&instance=1""><img lsrc=""/redcap_v14.3.14/DataEntry/image_view.php?pid=3094&doc_id_hash=8c59ec2219dd1f1233ffe3a1c26fad8609733dfb&id=316160&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:69px;max-width:69px;height:64px;max-height:64px;"" nativedim=""1"" class="""" src=""/redcap_v14.3.14/DataEntry/image_view.php?pid=3094&doc_id_hash=8c59ec2219dd1f1233ffe3a1c26fad8609733dfb&id=316160&instance=1""><img lsrc=""/redcap_v14.3.14/DataEntry/image_view.php?pid=3094&doc_id_hash=8c59ec2219dd1f1233ffe3a1c26fad8609733dfb&id=316160&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:69px;max-width:69px;height:64px;max-height:64px;"" nativedim=""1"" class="""" src=""/redcap_v14.3.14/DataEntry/image_view.php?pid=3094&doc_id_hash=8c59ec2219dd1f1233ffe3a1c26fad8609733dfb&id=316160&instance=1"">",,,,,,[ptanchor_comm_comp]='1',,,,,,
ptanchor_comm_q2,patient_anchor_communication,,radio,"Do you think this amount of change was an important change?","1, Yes | 2, No",,,,,,[ptanchor_comm_comp]='1',,,,,,
ptanchor_comm_total,patient_anchor_communication,Score,calc,"Patient threshold of important change - Communication",[ptanchor_comm_q1],,,,,,[ptanchor_comm_comp]='1',,,,,,
ptanchor_comm_instr,patient_anchor_communication,,descriptive,"<div class=""green"" style=""text-align:left;""><h6 style=""text-align:left;"">Please administer the post Scenario Test now</h6></div>",,,,,,,"[ptanchor_comm_q1] <> """"",,,,,,
scenario_post_header,post_scenario_test,"Post: Scenario Test",descriptive,"<div class=""rich-text-field-label""><p>Please do not leave any data fields blank</p>",,,,,,,,,,,,,
data_entry_id_scenario_post,post_scenario_test,,text,"Data entry person ID",,,,,,,,,,,,," @USERNAME @READONLY"
scenario_post_comp,post_scenario_test,,radio,"Post Scenario Test completed in [event-label] setting?","1, Yes | 2, No",,,,,,,,,,,,
scenario_post_history,post_scenario_test,,descriptive,"<p><em>Post Scenario Test completion status:</em></p> <p><em>Inpatient Acute: <span style=""color: #e03e2d;"">[inpatient_acute_arm_1][scenario_post_comp]</span></em></p> <p><em>Inpatient Rehab/Subacute: <span style=""color: #e03e2d;"">[inpatient_rehabsub_arm_1][scenario_post_comp]</span></em></p> <p><em>Community: <span style=""color: #e03e2d;"">[community_arm_1][scenario_post_comp]</span></em></p>",,,,,,,,,,,,,
scenario_post_file,post_scenario_test,,file,"Upload a copy of the completed post Scenario Test (optional)",,,,,,,[scenario_post_comp]='1',,,,,,
scenario_post_nc,post_scenario_test,,checkbox,"Why was the Scenario Test not completed?","1, Patient factors | 2, Service factors | 3, Previously completed | 4, Other assessment used to assess communication function; please specify {scenario_post_otherax} | 5, Patient discharged prior to two week test/re-test period","Select all that apply",,,,,[scenario_post_comp]='2',,,,,," @NONEOFTHEABOVE='3' @NONEOFTHEABOVE='4' @NONEOFTHEABOVE='5'"
scenario_post_otherax,post_scenario_test,,text,"Please specify",,,,,,,[scenario_post_nc(4)]=4,,,,,,
scenario_post_nc_ptfact,post_scenario_test,,checkbox,"Which patient factors influenced non-completion?","1, Patient not alert | 2, Patient offered and declined | 3, Patient unavailable to participate | 4, Interpreter not available | 5, Not feasible due to aphasia severity | 6, Patient discharged before administration | 7, Patient died | 8, Other {scenario_post_nc_ptfact2}","Select all that apply",,,,,[scenario_post_nc(1)]='1',,,,,,
scenario_post_nc_ptfact2,post_scenario_test,,text,"If other, please specify",,,,,,,[scenario_post_nc_ptfact(8)]='1',,,,,,
scenario_post_nc_svfact,post_scenario_test,,checkbox,"Which service factors influenced non-completion?","1, Competing demands | 2, Resource constraints | 3, No available trained clinicians | 8, Other {scenario_post_nc_svfact2}","Select all that apply",,,,,[scenario_post_nc(2)]='1',,,,,,
scenario_post_nc_svfact2,post_scenario_test,,text,"If other, please specify",,,,,,,[scenario_post_nc_svfact(8)]='1',,,,,,
scenario_post_date,post_scenario_test,,text,"Date post Scenario Test administered",,DD-MM-YYYY,date_dmy,,,,[scenario_post_comp]='1',,,,,," @HIDEBUTTON"
scenario_post_admin,post_scenario_test,,dropdown,"Administered by","1, Treating clinician | 2, Independent assessor | 3, Research team member",,,,,,[scenario_post_comp]='1',,,,,,
scenario_post_name,post_scenario_test,,text,"Name of Administrator",,,,,,,[scenario_post_comp]='1',,,,,,
scenario_post_mode,post_scenario_test,,radio,"Mode of administration","1, In person | 2, Remote via telehealth | 9, Other {scenario_post_modeoth}",,,,,,[scenario_post_comp]='1',,,,,,
scenario_post_modeoth,post_scenario_test,,text,"Please specify",,,,,,,[scenario_post_mode]='9',,,,,," @PLACEHOLDER=""Please specify"""
scenario_post_sweater,post_scenario_test,"1 - Shop",radio,Sweater,"0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_post_comp]='1',,,,,,
scenario_post_toobig,post_scenario_test,,radio,"Too big (sweater)","0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_post_comp]='1',,,,,,
scenario_post_price,post_scenario_test,,radio,Price,"0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_post_comp]='1',,,,,,
scenario_post_calltaxi,post_scenario_test,"2 - Taxi",radio,"1)Call, 2) Taxi","0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_post_comp]='1',,,,,,
scenario_post_frontseat,post_scenario_test,,radio,"Front (seat)","0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_post_comp]='1',,,,,,
scenario_post_receipt,post_scenario_test,,radio,Receipt,"0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_post_comp]='1',,,,,,
scenario_post_coughing,post_scenario_test,"3 - Doctor/GP",radio,Coughing,"0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_post_comp]='1',,,,,,
scenario_post_appt,post_scenario_test,,radio,"1) Appointment, 2) Next week","0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_post_comp]='1',,,,,,
scenario_post_coughsyrup,post_scenario_test,,radio,"1) Not this 2) Cough syrup","0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_post_comp]='1',,,,,,
scenario_post_drink,post_scenario_test,"4 - Visit",radio,"Some kind of drink","0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_post_comp]='1',,,,,,
scenario_post_children,post_scenario_test,,radio,"1) How are they? 2) Children","0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_post_comp]='1',,,,,,
scenario_post_coffeemypl,post_scenario_test,,radio,"1) Coffee/next time 2) My place","0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_post_comp]='1',,,,,,
scenario_post_ironing,post_scenario_test,"5 - Housekeeper",radio,Ironing,"0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_post_comp]='1',,,,,,
scenario_post_clean,post_scenario_test,,radio,"Clean/make beds","0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_post_comp]='1',,,,,,
scenario_post_coffee,post_scenario_test,,radio,"1) Coffee, 2) Together","0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_post_comp]='1',,,,,,
scenario_post_toilet,post_scenario_test,"6 - Restaurant",radio,Toilet,"0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_post_comp]='1',,,,,,
scenario_post_menu,post_scenario_test,,radio,Menu,"0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_post_comp]='1',,,,,,
scenario_post_spoon,post_scenario_test,,radio,Spoon,"0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_post_comp]='1',,,,,,
scenario_post_rawscore,post_scenario_test,,calc,"Total Score","sum([scenario_post_sweater],[scenario_post_toobig],[scenario_post_price],[scenario_post_calltaxi],[scenario_post_frontseat],[scenario_post_receipt],[scenario_post_coughing],[scenario_post_appt],[scenario_post_coughsyrup],[scenario_post_drink],[scenario_post_children],[scenario_post_coffeemypl],[scenario_post_ironing],[scenario_post_clean],[scenario_post_coffee],[scenario_post_toilet],[scenario_post_menu],[scenario_post_spoon])",,,,,,[scenario_post_comp]='1',,,,,,
scenario_post_percentile,post_scenario_test,,calc,Percentile,"if([scenario_post_rawscore]= 54,100,if([scenario_post_rawscore]= 53,95,if([scenario_post_rawscore]= 52,80,if([scenario_post_rawscore]= 51,70,if([scenario_post_rawscore]= 50,60,if([scenario_post_rawscore]= 49,55,if([scenario_post_rawscore]>= 47,50,if([scenario_post_rawscore]= 46,40,if([scenario_post_rawscore]>= 43,35,if([scenario_post_rawscore]= 42,27,if([scenario_post_rawscore]= 41,26,if([scenario_post_rawscore]= 40,25,if([scenario_post_rawscore]= 39,24,if([scenario_post_rawscore]= 38,23,if([scenario_post_rawscore]= 37,21,if([scenario_post_rawscore]= 36,19,if([scenario_post_rawscore]= 35,18,if([scenario_post_rawscore]= 34,15,if([scenario_post_rawscore]= 33,13,if([scenario_post_rawscore]= 32,12,if([scenario_post_rawscore]>= 30,11,if([scenario_post_rawscore]>= 28,10,if([scenario_post_rawscore]= 27,9,if([scenario_post_rawscore]= 26,8,if([scenario_post_rawscore]>= 23,7,if([scenario_post_rawscore]>= 20,6,if([scenario_post_rawscore]>= 16,5,if([scenario_post_rawscore]>= 13,4,if([scenario_post_rawscore]= 12,3,if([scenario_base_rawscore]= 11,2,if([scenario_post_rawscore]<= 9,1,"""")))))))))))))))))))))))))))))))",,,,,,[scenario_post_comp]='1',,,,,,
scenario_post_incomp,post_scenario_test,"Incomplete items",radio,"Were any items in this test NOT asked by the clinician or NOT attempted by the patient?","1, Yes - some items incomplete | 2, No - all items complete",,,,,,[scenario_post_comp]='1',,,,,,
scenario_post_incomplist,post_scenario_test,,notes,"Please describe reasons for incomplete items",,,,,,,[scenario_post_incomp]='1',,,,,,
clinanchor_ewb_warn,clinician_anchor_emotional_wellbeing,"Clinician-Rated Anchor: Emotional Well-being",descriptive,"<div class=""red"" style=""text-align:left;""><h6 style=""text-align:left;"">Please complete this anchor after the patient has completed aphasia treatment, but prior to administering the post-treatment assessment, where possible.
</h6></div>",,,,,,,,,,,,,
clinanchor_ewb_header,clinician_anchor_emotional_wellbeing,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Please do not leave any data fields blank. </span></p> <p><span style=""font-weight: normal;"">To be completed by the patient's treating clinician where possible. </span></p> <p><span style=""font-weight: normal;"">Please complete the anchor even if the patient has not received aphasia treatments.</span></p></div>",,,,,,,,,,,,,
data_entry_id_anchorewb,clinician_anchor_emotional_wellbeing,,text,"Data entry person ID",,,,,,,,,,,,," @USERNAME @READONLY"
clinanchor_ewb_comp,clinician_anchor_emotional_wellbeing,,radio,"Clinician-rated anchor completed","1, Yes | 2, No",,,,,,,,,,,,
clinanchor_ewb_nc,clinician_anchor_emotional_wellbeing,,checkbox,"Why was the clinician-rated anchor not completed?","1, Patient factors | 2, Service factors | 3, Patient discharged prior to two week test/re-test period","Select all that apply",,,,,[clinanchor_ewb_comp]='2',,,,,," @NONEOFTHEABOVE='3'"
clinanchor_ewb_nc_ptfact,clinician_anchor_emotional_wellbeing,,checkbox,"Which patient factors influenced non-completion?","1, Patient not alert | 2, Patient offered and declined | 3, Patient unavailable to participate | 4, Interpreter not available | 5, Not feasible due to aphasia severity | 6, Patient discharged before administration | 7, Patient died | 8, Other {clinanchor_ewb_nc_ptfact2}","Select all that apply",,,,,[clinanchor_ewb_nc(1)]='1',,,,,,
clinanchor_ewb_nc_ptfact2,clinician_anchor_emotional_wellbeing,,text,"If other, please specify",,,,,,,[clinanchor_ewb_nc_ptfact(8)]='1',,,,,,
clinanchor_ewb_nc_svfact,clinician_anchor_emotional_wellbeing,,checkbox,"Which service factors influenced non-completion?","1, Competing demands | 2, Resource constraints | 3, No available trained clinicians | 8, Other {clinanchor_ewb_nc_svfact2}","Select all that apply",,,,,[clinanchor_ewb_nc(2)]='1',,,,,,
clinanchor_ewb_nc_svfact2,clinician_anchor_emotional_wellbeing,,text,"If other, please specify",,,,,,,[clinanchor_ewb_nc_svfact(8)]='1',,,,,,
clinanchor_ewb_date,clinician_anchor_emotional_wellbeing,,text,"Date clinician-rated anchor completed",,DD-MM-YYYY,date_dmy,,,,[clinanchor_ewb_comp]='1',,,,,," @HIDEBUTTON"
clinanchor_ewb_admin,clinician_anchor_emotional_wellbeing,,dropdown,"Completed by","1, Treating clinician | 2, Independent assessor | 3, Research team member",,,,,,[clinanchor_ewb_comp]='1',,,,,,
clinanchor_ewb_name,clinician_anchor_emotional_wellbeing,,text,"Name of person completing anchor",,,,,,,[clinanchor_ewb_comp]='1',,,,,,
clinanchor_ewb_q1,clinician_anchor_emotional_wellbeing,,dropdown,"How much has the patient's emotional well-being changed since their baseline assessment?","-2, Much worse | -1, Slightly worse | 0, No change | 1, Slightly improved | 2, Much improved | 3, Completely recovered",,,,,,[clinanchor_ewb_comp]='1',,,,,,
clinanchor_ewb_q2,clinician_anchor_emotional_wellbeing,,radio,"Do you think this amount of change was an important change to the patient?","1, Yes | 2, No",,,,,,[clinanchor_ewb_comp]='1',,,,,,
clinanchor_ewb_total,clinician_anchor_emotional_wellbeing,,calc,"Clinician threshold of important change - Communication",[clinanchor_ewb_q1],,,,,,[clinanchor_ewb_comp]='1',,,,,,
ptanchor_ewb_warn,patient_anchor_emotional_wellbeing,"Patient-Rated Anchor: Emotional Well-being",descriptive,"<div class=""red"" style=""text-align:left;""><h6 style=""text-align:left;"">Please complete this anchor after the patient has completed aphasia treatment, but prior to administering the post-treatment assessment, where possible.
</h6></div>",,,,,,,,,,,,,
data_entry_id_anchorewbpt,patient_anchor_emotional_wellbeing,,text,"Data entry person ID",,,,,,,,,,,,," @USERNAME @READONLY"
ptanchor_ewb_header,patient_anchor_emotional_wellbeing,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Please do not leave any data fields blank. </span></p> <p><span style=""font-weight: normal;"">The anchor is to be completed only with post-treatment outcome measures.</span></p> <p>The anchor <span style=""text-align: var(--bs-body-text-align);"">is to be completed prior to administration of the GHQ-12.</span></p> <p> </p></div>",,,,,,,,,,,,,
ptanchor_ewb_comp,patient_anchor_emotional_wellbeing,,radio,"Patient-rated anchor completed","1, Yes | 2, No",,,,,,,,,,,,
ptanchor_ewb_nc,patient_anchor_emotional_wellbeing,,checkbox,"Why was the patient-rated anchor not completed?","1, Patient factors | 2, Service factors | 3, Patient discharged prior to two week test/re-test period","Select all that apply",,,,,[ptanchor_ewb_comp]='2',,,,,," @NONEOFTHEABOVE='3'"
ptanchor_ewb_nc_ptfact,patient_anchor_emotional_wellbeing,,checkbox,"Which patient factors influenced non-completion?","1, Patient not alert | 2, Patient offered and declined | 3, Patient unavailable to participate | 4, Interpreter not available | 5, Not feasible due to aphasia severity | 6, Patient discharged before administration | 7, Patient died | 8, Other {ptanchor_ewb_nc_ptfact2}","Select all that apply",,,,,[ptanchor_ewb_nc(1)]='1',,,,,,
ptanchor_ewb_nc_ptfact2,patient_anchor_emotional_wellbeing,,text,"If other, please specify",,,,,,,[ptanchor_ewb_nc_ptfact(8)]='1',,,,,,
ptanchor_ewb_nc_svfact,patient_anchor_emotional_wellbeing,,checkbox,"Which service factors influenced non-completion?","1, Competing demands | 2, Resource constraints | 3, No available trained clinicians | 8, Other {ptanchor_ewb_nc_svfact2}","Select all that apply",,,,,[ptanchor_ewb_nc(2)]='1',,,,,,
ptanchor_ewb_nc_svfact2,patient_anchor_emotional_wellbeing,,text,"If other, please specify",,,,,,,[ptanchor_ewb_nc_svfact(8)]='1',,,,,,
ptanchor_ewb_proxy,patient_anchor_emotional_wellbeing,,radio,"Patient-rated anchor was completed by","1, Patient | 2, Patient with support from a communication partner | 3, Significant other",,,,,,[ptanchor_ewb_comp]='1',,,,,,
ptanchor_ewb_date,patient_anchor_emotional_wellbeing,,text,"Date patient-rated anchor administered",,DD-MM-YYYY,date_dmy,,,,[ptanchor_ewb_comp]='1',,,,,," @HIDEBUTTON"
ptanchor_ewb_admin,patient_anchor_emotional_wellbeing,,dropdown,"Administered by","1, Treating clinician | 2, Independent assessor | 3, Research team member",,,,,,[ptanchor_ewb_comp]='1',,,,,,
ptanchor_ewb_name,patient_anchor_emotional_wellbeing,,text,"Name of administrator",,,,,,,[ptanchor_ewb_comp]='1',,,,,,
